engine,activated_factor,signal_l2,signal_max,belief_shift
BPEngine,f1012,40299056118473531392.000000,23266670898088525824.000000,69800012694265577472.000000
BPEngine,f1015,12178439266517856256.000000,7031225188833592320.000000,-21093675566500777984.000000
BPEngine,f111,6537580692676439040.000000,3774473972765642240.000000,11323421918296926208.000000
BPEngine,f1112,23096298417638174720.000000,13334654108707328000.000000,40003962326121988096.000000
BPEngine,f1115,20957155087781777408.000000,12099619131379544064.000000,36298857394138632192.000000
BPEngine,f112,7311379872066347008.000000,4221227137285116928.000000,-12663681411855351808.000000
BPEngine,f114,11978749729358114816.000000,6915934380800064512.000000,-20747803142400192512.000000
BPEngine,f115,9155432768159588352.000000,5285891573244459008.000000,15857674719733377024.000000
BPEngine,f118,39420394210493456384.000000,22759375208989560832.000000,68278125626968686592.000000
BPEngine,f1213,14732975679806435328.000000,8506087474700454912.000000,-25518262424101363712.000000
BPEngine,f1214,19505555231230304256.000000,11261537563443929088.000000,33784612690331787264.000000
BPEngine,f1217,8512797631162773504.000000,4914866003908635648.000000,14744598011725905920.000000
BPEngine,f1218,6588062679334216704.000000,3803619761351737344.000000,11410859284055212032.000000
BPEngine,f1219,46617916621876969472.000000,26914866710700199936.000000,80744600132100603904.000000
BPEngine,f13,24491002130445352960.000000,14139886672736321536.000000,42419660018208964608.000000
BPEngine,f1314,5877124215431749632.000000,3393159247840388608.000000,10179477743521165312.000000
BPEngine,f1317,47566519994791559168.000000,27462543123406622720.000000,-82387629370219872256.000000
BPEngine,f1318,5983008937375326208.000000,3454291820557581312.000000,10362875461672742912.000000
BPEngine,f1320,342618165745625472.000000,197810690222492672.000000,-593432070667478016.000000
BPEngine,f1415,7296545779838757888.000000,4212662670144334848.000000,12637988010433003520.000000
BPEngine,f15,15392646148139067392.000000,8886948397168746496.000000,26660845191506239488.000000
BPEngine,f1516,9372030089321998336.000000,5410944094923328512.000000,16232832284769984512.000000
BPEngine,f1517,14827457536976656384.000000,8560636600371217408.000000,-25681909801113653248.000000
BPEngine,f1620,48047370128110559232.000000,27740162077318213632.000000,-83220486231954636800.000000
BPEngine,f1819,35949699325613965312.000000,20755568582929330176.000000,62266705748787986432.000000
BPEngine,f1820,59369659144965627904.000000,34277088689042231296.000000,102831266067126697984.000000
BPEngine,f19,6267094736049345.000000,3618308832894976.000000,-10854926498684928.000000
BPEngine,f210,14260513478315341824.000000,8233311295487648768.000000,24699933886462947328.000000
BPEngine,f211,32320415906596753408.000000,18660200823994298368.000000,55980602471982891008.000000
BPEngine,f23,42432356774577512448.000000,24498332606152568832.000000,73494997818457702400.000000
BPEngine,f27,72403971001664749568.000000,41802452148209000448.000000,125407356444627009536.000000
BPEngine,f311,30228967053813972992.000000,17452702265843826688.000000,52358106797531480064.000000
BPEngine,f312,30924772247940169728.000000,17854425581976125440.000000,53563276745928376320.000000
BPEngine,f313,4064005948359719424.000000,2346354928273724416.000000,7039064784821173248.000000
BPEngine,f318,2799087159473286144.000000,1616053725007126528.000000,4848161175021379584.000000
BPEngine,f38,31263514624152883200.000000,18049998584068468736.000000,54149995752205402112.000000
BPEngine,f39,10066104878815567872.000000,5811668361475173376.000000,17435005084425519104.000000
BPEngine,f417,27168014966964629504.000000,15685460754524811264.000000,47056382263574429696.000000
BPEngine,f418,34068755574579957760.000000,19669605201939300352.000000,59008815605817901056.000000
BPEngine,f47,10043694300090880000.000000,5798729607815779328.000000,-17396188823447339008.000000
BPEngine,f49,66843547760905625600.000000,38592140293348466688.000000,-115776420880045408256.000000
BPEngine,f515,25556779638774104064.000000,14755213604066177024.000000,-44265640812198526976.000000
BPEngine,f56,13332189977281515520.000000,7697343472270713856.000000,23092030416812142592.000000
BPEngine,f610,20112430095371776000.000000,11611916929620426752.000000,34835750788861280256.000000
BPEngine,f611,16573926325023954944.000000,9568960825281605632.000000,-28706882475844816896.000000
BPEngine,f612,52097661295152865280.000000,30078598772906455040.000000,90235796318719361024.000000
BPEngine,f616,34832987982519492608.000000,20110834988386627584.000000,-60332504965159878656.000000
BPEngine,f67,38406884778760314880.000000,22174225265752207360.000000,66522675797256617984.000000
BPEngine,f715,55394770108392914944.000000,31982185433778085888.000000,95946556301334249472.000000
BPEngine,f79,7787281558577689600.000000,4495989104100237312.000000,13487967312300711936.000000
BPEngine,f810,2280621288759456768.000000,1316717314984863744.000000,3950151944954591232.000000
BPEngine,f816,43984577438235451392.000000,25394507624157175808.000000,-76183522872471519232.000000
BPEngine,f910,19249616395359997952.000000,11113771207658127360.000000,33341313622974382080.000000
BPEngine,f912,23697949936403189760.000000,13682017775024656384.000000,41046053325073973248.000000
BPEngine,f917,42783457853254696960.000000,24701040908439609344.000000,74103122725318819840.000000
BPEngine,f920,6392243686088371200.000000,3690563612888806400.000000,11071690838666420224.000000
DampingEngine,f1012,89525053.954766,51687317.000000,155061942.000000
DampingEngine,f1015,81149623.547871,46851760.000000,140555271.000000
DampingEngine,f111,85578310.608598,49408671.000000,148225982.000000
DampingEngine,f1112,107048194.654432,61804305.000000,185412912.000000
DampingEngine,f1115,77259619.299406,44605864.000000,133817586.000000
DampingEngine,f112,112708943.148157,65072544.000000,195217616.000000
DampingEngine,f114,81103701.684812,46825255.000000,140475732.000000
DampingEngine,f115,117561025.987341,67873894.000000,203621670.000000
DampingEngine,f118,108084199.483021,62402450.000000,187207325.000000
DampingEngine,f1213,104266829.362521,60198485.000000,180595446.000000
DampingEngine,f1214,77726057.695134,44875169.000000,134625481.000000
DampingEngine,f1217,92282471.912213,53279310.000000,159837930.000000
DampingEngine,f1218,66244664.705332,38246376.000000,114739125.000000
DampingEngine,f1219,61452638.995850,35479701.000000,106439093.000000
DampingEngine,f13,120049014.204067,69310340.000000,207930992.000000
DampingEngine,f1314,89656027.595384,51762941.000000,155288795.000000
DampingEngine,f1317,94628643.272916,54633878.000000,163901618.000000
DampingEngine,f1318,90568958.089737,52290016.000000,156870037.000000
DampingEngine,f1320,74339635.094614,42920014.000000,128760025.000000
DampingEngine,f1415,96196927.521928,55539324.000000,166617966.000000
DampingEngine,f15,87553616.405084,50549114.000000,151647312.000000
DampingEngine,f1516,63794962.317010,36832049.000000,110496116.000000
